id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
79121451,,23025,23025,23025.0,60 months,20.99,622.78,E,E1,Licensed Plumber,2 years,RENT,65000.0,Source Verified,Jun-2016,Late (31-120 days),n,,debt_consolidation,Debt consolidation,802xx,CO,13.07,0,Sep-2000,2.0,30.0,87.0,10,1,10895.0,38.9,16,f,19293.99,19293.99,9339.52,9339.52,3731.01,5608.51,0.0,0.0,0.0,Sep-2017,622.78,Jan-2018,Dec-2017,0,30.0,1,Individual,,,,0,0.0,19991.0,1.0,0.0,1.0,13.0,9096.0,70.0,3.0,7.0,5284.0,49.0,28000.0,2.0,3.0,3.0
114207950,,9450,9450,9450.0,36 months,13.59,321.1,C,C2,,,OWN,25635.0,Verified,Aug-2017,Current,n,,debt_consolidation,Debt consolidation,761xx,TX,31.55,0,Apr-1999,0.0,33.0,,13,0,15253.0,43.7,35,f,8579.03,8579.03,1277.27,1277.27,870.97,406.3,0.0,0.0,0.0,Dec-2017,321.1,Jan-2018,Dec-2017,0,33.0,1,Individual,,,,0,0.0,113213.0,1.0,0.0,0.0,58.0,0.0,,2.0,10.0,9613.0,44.0,36000.0,0.0,0.0,0.0
92369915,,19200,19200,19200.0,36 months,13.49,651.47,C,C2,,,MORTGAGE,40000.0,Verified,Nov-2016,Current,n,,home_improvement,Home improvement,335xx,FL,8.01,3,Nov-1995,0.0,15.0,15.0,9,2,7835.0,41.5,17,w,13138.63,13138.63,8454.72,8454.72,6061.37,2393.35,0.0,0.0,0.0,Dec-2017,651.47,Jan-2018,Dec-2017,0,20.0,1,Individual,,,,0,0.0,154027.0,2.0,0.0,0.0,113.0,0.0,,1.0,1.0,3407.0,42.0,18900.0,1.0,0.0,2.0
99965324,,6000,6000,6000.0,36 months,7.24,185.93,A,A3,Claims Adjustor,5 years,MORTGAGE,65000.0,Not Verified,Mar-2017,Fully Paid,n,,home_improvement,Home improvement,123xx,NY,4.86,0,Feb-2012,0.0,,,9,0,3819.0,15.7,13,w,0.0,0.0,6002.030533334,6002.03,6000.0,2.03,0.0,0.0,0.0,Apr-2017,6004.44,,Dec-2017,0,,1,Individual,,,,0,0.0,154027.0,0.0,1.0,3.0,12.0,7286.0,79.0,2.0,4.0,3790.0,33.0,24300.0,3.0,1.0,2.0
68053146,,15000,15000,15000.0,36 months,7.91,469.43,A,A5,Charge Nurse,9 years,OWN,75000.0,Not Verified,Jan-2016,Current,n,,credit_card,Credit card refinancing,074xx,NJ,8.76,0,Feb-1984,0.0,,,13,0,14255.0,56.8,24,w,5829.79,5829.79,10790.3,10790.3,9170.21,1620.09,0.0,0.0,0.0,Dec-2017,469.43,Jan-2018,Dec-2017,0,,1,Individual,,,,0,0.0,88917.0,1.0,0.0,0.0,65.0,0.0,,2.0,2.0,6514.0,57.0,25100.0,0.0,0.0,0.0
92349911,,3000,3000,3000.0,36 months,11.39,98.78,B,B3,Human Resources,4 years,MORTGAGE,45000.0,Not Verified,Nov-2016,Late (31-120 days),n,,medical,Medical expenses,750xx,TX,22.88,0,Feb-1997,1.0,48.0,,26,0,5843.0,7.5,39,f,2266.15,2266.15,985.9,985.9,733.85,252.05,0.0,0.0,0.0,Sep-2017,98.78,Jan-2018,Dec-2017,0,,1,Individual,,,,0,0.0,126273.0,2.0,2.0,3.0,3.0,24963.0,100.0,2.0,4.0,4000.0,30.0,78100.0,3.0,0.0,5.0
115422098,,6000,6000,6000.0,36 months,12.62,201.07,C,C1,Teacher,< 1 year,RENT,40000.0,Source Verified,Aug-2017,Current,n,,debt_consolidation,Debt consolidation,113xx,NY,15.81,0,Jul-2010,0.0,,,14,0,16268.0,68.6,17,w,5439.35,5439.35,795.87,795.87,560.65,235.22,0.0,0.0,0.0,Dec-2017,201.07,Jan-2018,Dec-2017,0,,1,Individual,,,,0,0.0,16268.0,0.0,0.0,0.0,,0.0,,2.0,2.0,2832.0,69.0,23700.0,0.0,0.0,0.0
98961151,,7200,7200,7200.0,36 months,16.99,256.67,D,D1,Owner,6 years,RENT,56879.0,Verified,Feb-2017,In Grace Period,n,,moving,Moving and relocation,770xx,TX,18.4,2,Mar-2004,0.0,14.0,,18,0,6266.0,34.2,31,f,5729.69,5729.69,2318.23,2318.23,1470.31,832.92,15.0,0.0,0.0,Dec-2017,256.67,Jan-2018,Dec-2017,1,14.0,1,Individual,,,,0,1320.0,25606.0,3.0,0.0,2.0,15.0,19340.0,56.0,3.0,8.0,1594.0,48.0,18300.0,4.0,0.0,1.0
76154007,,12000,12000,12000.0,36 months,7.89,375.43,A,A5,Letter Carrrier,10+ years,RENT,59859.0,Verified,Apr-2016,Current,n,,debt_consolidation,Debt consolidation,606xx,IL,12.89,0,Jun-2000,1.0,,,8,0,16430.0,44.9,10,w,5683.93,5683.93,7498.08,7498.08,6316.07,1182.01,0.0,0.0,0.0,Dec-2017,375.43,Jan-2018,Dec-2017,0,,1,Individual,,,,0,0.0,19191.0,0.0,0.0,0.0,51.0,2761.0,13.0,1.0,2.0,9142.0,33.0,36600.0,0.0,0.0,1.0
78924129,,21000,21000,21000.0,60 months,17.27,524.96,D,D2,Oncology Manager,10+ years,MORTGAGE,78000.0,Not Verified,Jun-2016,Current,n,,other,Other,321xx,FL,9.17,0,Nov-1991,0.0,,93.0,6,1,4880.0,42.8,15,w,16460.57,16460.57,9468.12,9468.12,4539.43,4928.69,0.0,0.0,0.0,Dec-2017,524.96,Jan-2018,Dec-2017,0,,1,Individual,,,,0,0.0,19767.0,0.0,0.0,1.0,22.0,14887.0,54.0,0.0,0.0,4081.0,50.0,11400.0,0.0,3.0,0.0
